Biodiversity _Header,,,,,,,,,,,,,,
FILE_SPECIFICATION=,,,,,,,,,,,,,,
PROJECT_DESCRIPTION=Biodiversity trawl survey for the Passamaquoddy Bay and Fundy Isles area,,,,,,,,,,,,,,
PLATFORM=CCGS Viola M Davidson,,,,,,,,,,,,,,
DATA_TYPE=Set information,,,,,,,,,,,,,,
"VARIABLES,",,,,,,,,,,,,,,
MISSION=Unique mission identification code for each trawl year,,,,,,,,,,,,,,
SETNO=Unique identification code for each set within a trawl year,,,,,,,,,,,,,,
"STATION=One of four trawl areas A-River Area, B-Upper Passamaquoddy Bay Area, C-Lower Passamaquoddy Bay Area, D-Outer Passamaquoddy Bay Area",,,,,,,,,,,,,,
DATE_START=Start of trawl,,,,,,,,,,,,,,
TIME_START=Time trawl began,,,,,,,,,,,,,,
TIME_FINISH=Time trawl finished,,,,,,,,,,,,,,
LATITUDE_START=Latitudinal coordinates in decimal degrees where trawl began ,,,,,,,,,,,,,,
LONGITUDE_START=Longitudinal coordinates in decimal degrees where trawl began,,,,,,,,,,,,,,
LATITUDE_FINISH=Latitudinal coordinates in decimal degrees where trawl ended,,,,,,,,,,,,,,
LONGITUDE_FINISH=Longitudinal coordinates in decimal degrees where trawl ended,,,,,,,,,,,,,,
DEPTH_START=Beginning trawl depth in metres,,,,,,,,,,,,,,
DEPTH_FINISH=End trawl depth in metres,,,,,,,,,,,,,,
SPEED=Trawl speed in knots,,,,,,,,,,,,,,
TEMP_TRWL_AVE=average temperature of trawl at cod end,,,,,,,,,,,,,,
DEPTH_TRWL_AVE=average depth of trawl at cod end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MISSION,SETNO ,STATION,DATE_START,TIME START,TIME FINISH,LATITUDE_START,LONGITUDE_START,LATITUDE_FINISH,LONGITUDE_FINISH,DEPTH_START,DEPTH_FINISH,SPEED,DEPTH_TRWL_AVE,TEMP_TRWL_AVE
BOF2009001,2009.001,B,9/7/2009,10:04:00,10:29:00,45.1168,-66.9293,45.1266,-66.945,12,15,2.2,,
BOF2009001,2009.002,B,9/7/2009,11:50:00,12:20:00,45.0877,-66.9474,45.0732,-66.9381,56,86,2,,
BOF2009001,2009.003,C,10/7/2009,9:27:00,9:57:00,44.997,-67.0116,44.9817,-67.0204,46,44,2.1,,
BOF2009001,2009.004,A,10/7/2009,11:43:00,11:54:00,45.1056,-67.1081,45.1112,-67.1112,29,30,2.1,,
BOF2009001,2009.005,C,10/7/2009,1:08:00,1:38:00,45.03,-67.0548,45.0157,-67.0422,32,45,2,,
BOF2009001,2009.006,B,14/08/2009,9:53:00,10:24:00,45.1174,-66.9342,45.1287,-66.9535,15,16,2,,
BOF2009001,2009.007,B,14/08/2009,11:42:00,12:17:00,45.0867,-66.9446,45.0678,-66.9344,55,68,1.9,,
