Biodiversity _Header,,,,,,,,,,,,,,
FILE_SPECIFICATION=,,,,,,,,,,,,,,
PROJECT_DESCRIPTION=Biodiversity trawl survey for the Passamaquoddy Bay and Fundy Isles area,,,,,,,,,,,,,,
PLATFORM=CCGS Viola M Davidson,,,,,,,,,,,,,,
DATA_TYPE=Set information,,,,,,,,,,,,,,
"VARIABLES,",,,,,,,,,,,,,,
MISSION=Unique mission identification code for each trawl year,,,,,,,,,,,,,,
SETNO=Unique identification code for each set within a trawl year,,,,,,,,,,,,,,
"STATION=One of four trawl areas A-River Area, B-Upper Passamaquoddy Bay Area, C-Lower Passamaquoddy Bay Area, D-Outer Passamaquoddy Bay Area",,,,,,,,,,,,,,
DATE_START=Date of trawl,,,,,,,,,,,,,,
TIME_START=Time trawl began,,,,,,,,,,,,,,
TIME_FINISH=Time trawl finished,,,,,,,,,,,,,,
LATITUDE_START=Latitudinal coordinates in decimal degrees where trawl began ,,,,,,,,,,,,,,
LONGITUDE_START=Longitudinal coordinates in decimal degrees where trawl began,,,,,,,,,,,,,,
LATITUDE_FINISH=Latitudinal coordinates in decimal degrees where trawl ended,,,,,,,,,,,,,,
LONGITUDE_FINISH=Longitudinal coordinates in decimal degrees where trawl ended,,,,,,,,,,,,,,
DEPTH_START=Beginning trawl depth in metres,,,,,,,,,,,,,,
DEPTH_FINISH=End trawl depth in metres,,,,,,,,,,,,,,
SPEED=Trawl speed in knots,,,,,,,,,,,,,,
TEMP_TRWL_AVE=average temperature of trawl at cod end,,,,,,,,,,,,,,
DEPTH_TRWL_AVE=average depth of trawl at cod end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MISSION,SETNO ,STATION,DATE_START,TIME START,TIME FINISH,LATITUDE_START,LONGITUDE_START,LATITUDE_FINISH,LONGITUDE_FINISH,DEPTH_START,DEPTH_FINISH,SPEED,DEPTH_TRWL_AVE,TEMP_TRWL_AVE
BOF2015001,2015.001,C,14/07/2015,10:37:00,10:58:00,45.0356,-66.9926,45.0454,-66.9804,30,31,2.6,27.77,9.91
BOF2015001,2015.002,D,14/07/2015,12:17:00,12:37:00,44.9216,-66.8841,44.906,-66.8823,98,75,2.6,92.81,8.29
BOF2015001,2015.003,A,30/07/2015,9:51:00,10:09:00,45.0714,-67.091,45.0634,-67.0833,26,31,2.2,,
BOF2015001,2015.004,B,30/07/2015,10:53:00,11:13:00,45.0732,-66.9779,45.0875,-66.9623,46,45,2.7,,
BOF2015001,2015.005,D,30/07/2015,12:37:00,12:58:00,45.0009,-66.7763,45.0001,-66.7577,56,56,2.3,,
BOF2015001,2015.006,A,17/08/2015,8:49:00,9:03:00,45.0969,-67.1022,45.0888,-67.0995,22,25,2.4,23.66,12.7
BOF2015001,2015.007,D,17/08/2015,10:54:00,11:14:00,44.9254,-66.8862,44.9248,-66.8718,86,89,2.4,93.29,9.88
BOF2015001,2015.008,D,17/08/2015,12:11:00,12:32:00,44.9902,-66.7743,44.9793,-66.7638,63,74,2.3,67.06,9.54
BOF2015001,2015.009,C,18/08/2015,8:54:00,9:10:00,45.0444,-67.081,45.0362,-67.054,27,25,2.5,25.62,12.25
BOF2015001,2015.01,C,18/08/2015,9:59:00,10:15:00,45.0242,-67.0432,45.0162,-67.0357,26,35,2.3,28.88,12.31
BOF2015001,2015.011,B,18/08/2015,11:08:00,11:29:00,45.075,-66.9769,45.0924,-66.9785,42,34,2.7,38.1,12.19
BOF2015001,2015.012,B,18/08/2015,12:35:00,12:58:00,45.0858,-66.9464,45.0725,-66.9401,57,77,2.4,69.8,12.18
BOF2015001,2015.013,A,2/9/2015,9:44:00,9:49:00,45.1012,-67.1033,45.0907,-67.0999,25,24,2.4,23.56,14.23
BOF2015001,2015.014,D,17/09/2015,9:57:00,10:17:00,45.016,-66.7934,45.018,-66.7713,38,41,2.7,40.15,12.43
BOF2015001,2015.015,D,17/09/2015,11:21:00,11:41:00,45.0027,-66.7057,44.9996,-66.7235,66,60,2.5,63.95,10.82
BOF2015001,2015.016,D,17/09/2015,12:47:00,13:08:00,44.9347,-66.8534,44.9521,-66.845,95,93,2.5,94.54,10.9
BOF2015001,2015.017,A,18/09/2015,9:00:00,9:15:00,45.107,-67.1076,45.099,-67.102,26,24,2.4,26.24,13.47
BOF2015001,2015.018,C,18/09/2015,10:22:00,10:42:00,45.0218,-67.0567,45.0079,-67.0487,29,41,2.5,34.83,13.09
BOF2015001,2015.019,B,18/09/2015,11:56:00,12:17:00,45.0986,-67.0079,45.0999,-66.9884,33,34,2.5,33.98,13.18
BOF2015001,2015.02,D,27/10/2015,10:53:00,11:13:00,44.9563,-66.8871,44.922,-66.8803,100,105,2.9,94.36,11
BOF2015001,2015.021,D,27/10/2015,11:36:00,11:56:00,44.9282,-66.8658,44.9421,-66.8585,87,97,2.8,91.28,11.04
BOF2015001,2015.022,B,27/10/2015,1:13:00,1:33:00,45.0783,-66.9359,45.0832,-66.9555,68,55,2.8,70.21,10.96
