Biodiversity _Header,,,,,,,,,,,,,,
FILE_SPECIFICATION=,,,,,,,,,,,,,,
PROJECT_DESCRIPTION=Biodiversity trawl survey for the Passamaquoddy Bay and Fundy Isles area,,,,,,,,,,,,,,
PLATFORM=CCGS Viola M Davidson,,,,,,,,,,,,,,
DATA_TYPE=Set information,,,,,,,,,,,,,,
"VARIABLES,",,,,,,,,,,,,,,
MISSION=Unique mission identification code for each trawl year,,,,,,,,,,,,,,
SETNO=Unique identification code for each set within a trawl year,,,,,,,,,,,,,,
"STATION=One of four trawl areas A-River Area, B-Upper Passamaquoddy Bay Area, C-Lower Passamaquoddy Bay Area, D-Outer Passamaquoddy Bay Area",,,,,,,,,,,,,,
DATE_START=Date of trawl,,,,,,,,,,,,,,
TIME_START=Time trawl began,,,,,,,,,,,,,,
TIME_FINISH=Time trawl finished,,,,,,,,,,,,,,
LATITUDE_START=Latitudinal coordinates in decimal degrees where trawl began ,,,,,,,,,,,,,,
LONGITUDE_START=Longitudinal coordinates in decimal degrees where trawl began,,,,,,,,,,,,,,
LATITUDE_FINISH=Latitudinal coordinates in decimal degrees where trawl ended,,,,,,,,,,,,,,
LONGITUDE_FINISH=Longitudinal coordinates in decimal degrees where trawl ended,,,,,,,,,,,,,,
DEPTH_START=Beginning trawl depth in metres,,,,,,,,,,,,,,
DEPTH_FINISH=End trawl depth in metres,,,,,,,,,,,,,,
SPEED=Trawl speed in knots,,,,,,,,,,,,,,
TEMP_TRWL_AVE=average temperature of trawl at cod end,,,,,,,,,,,,,,
DEPTH_TRWL_AVE=average depth of trawl at cod end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MISSION,SETNO ,STATION,DATE_START,TIME START,TIME FINISH,LATITUDE_START,LONGITUDE_START,LATITUDE_FINISH,LONGITUDE_FINISH,DEPTH_START,DEPTH_FINISH,SPEED,DEPTH_TRWL_AVE,TEMP_TRWL_AVE
BOF2012001,2012.001,D,5/7/2012,11:55:00,12:25:00,44.9959,-66.758,45.0037,-66.7309,59,59,2.6,,
BOF2012001,2012.002,C,5/7/2012,14:02:00,14:32:00,45.0089,-67.0405,44.9986,-67.0211,55,46,2.7,,
BOF2012001,2012.003,B,6/7/2012,9:44:00,10:14:00,45.0812,-66.9378,45.1022,-66.9413,56,21,2.7,35.77,10.7
BOF2012001,2012.004,A,9/8/2012,9:19:00,9:31:00,45.1318,-67.1265,45.1251,-67.1223,27,27,2.6,,
BOF2012001,2012.005,A,9/8/2012,11:06:00,11:36:00,45.0668,-67.088,45.0512,-67.0773,25,26,2.2,,
BOF2012001,2012.006,B,9/8/2012,12:43:00,13:13:00,45.1195,-66.9324,45.1236,-66.9565,12,18,2.2,,
BOF2012001,2012.007,B,10/8/2012,12:21:00,12:51:00,45.0808,-66.9458,45.0928,-66.9641,64,36,2.2,,
BOF2012001,2012.008,D,6/9/2012,10:41:00,11:10:00,44.9018,-66.8699,44.8808,-66.8767,76,73,2.9,,
BOF2012001,2012.009,D,6/9/2012,12:35:00,13:05:00,44.997,-66.7722,44.9756,-66.7816,55,75,2.3,,
BOF2012001,2012.01,D,6/9/2012,13:20:00,13:50:00,44.9777,-66.7757,44.9977,-66.7592,73,48,2.4,,
BOF2012001,2012.011,B,7/9/2012,9:29:00,10:00:00,45.0781,-66.9442,45.0945,-66.9445,75,57,2.2,,
BOF2012001,2012.012,C,7/9/2012,11:18:00,11:48:00,45.02,-67.033,45.0052,-67.0282,25,40,2.2,,
