Biodiversity _Header,,,,,,,,
FILE_SPECIFICATION=,,,,,,,,
PROJECT_DESCRIPTION=Biodiversity trawl survey for the Passamaquoddy Bay and Fundy Isles area,,,,,,,,
PLATFORM=CCGS Viola M Davidson,,,,,,,,
DATA_TYPE=Catch data,,,,,,,,
"VARIABLES,",,,,,,,,
MISSION=Unique mission identification code for each trawl year,,,,,,,,
SPECIES_CODE=Numerical species identification code,,,,,,,,
SETNO=Unique identification code for each set within a trawl year,,,,,,,,
SCIENTIFIC_NAME=Identification to lowest taxon level,,,,,,,,
COMMON_NAME=Common name for each species,,,,,,,,
NUMBER_CAUGHT=Total number of individuals caught,,,,,,,,
BIOMASS=Total biomass of individual species captured in grams,,,,,,,,
COMMENTS,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MISSION,SPECIES_CODE,STATION,SETNO,SCIENTIFIC_NAME,COMMON_NAME,NUMBER_CAUGHT,BIOMASS,COMMENTS
BOF2012001,,D,2012.001,Aurelia aurita,moon jelly,135,2995,
BOF2012001,,D,2012.001,Clupea harengus,herring,99,9257,
BOF2012001,,D,2012.001,Ctenodiscus crispatus,mud star,272,1578,
BOF2012001,,D,2012.001,Enchelyopus cimbrius,fourbeard rockling,1,46,
BOF2012001,,D,2012.001,Hippoglossoides platessoides,American plaice,42,1936,
BOF2012001,,D,2012.001,Hippoglossus hippoglossus,Atlantic halibut,1,3650,
BOF2012001,,D,2012.001,Homarus americanus,American lobster,10,5725,
BOF2012001,,D,2012.001,Hyas coarctatus,Atlantic lyre crab,1,20,
BOF2012001,,D,2012.001,Doryteuthis pealeii,longfin inshore squid,1,24,
BOF2012001,,D,2012.001,Lophius americanus,monkfish,1,906,
BOF2012001,,D,2012.001,Merluccius bilinearis,silver hake,2506,152164,
BOF2012001,,D,2012.001,Myoxocephalus octodecemspinosus,longhorn sculpin,5,956,
BOF2012001,,D,2012.001,Ophiopholis aculeata,daisy brittle star,7,20,
BOF2012001,,D,2012.001,Pandalus borealis,northern shrimp,167,1460,
BOF2012001,,D,2012.001,Pandalus montagui,Montague shrimp,332,1330,
BOF2012001,,D,2012.001,Placopecten magellanicus,deep sea scallop,23,173,
BOF2012001,,D,2012.001,Pseudopleuronectes americanus,winter flounder,65,13514,
BOF2012001,,D,2012.001,Urophycis tenuis,white hake,21,3203,
BOF2012001,,C,2012.002,Alosa pseudoharengus,alewife,199,29349,
BOF2012001,,C,2012.002,Asterias vulgaris,northern sea star,3,107,
BOF2012001,,C,2012.002,Aurelia aurita,moon jelly,24,535,
BOF2012001,,C,2012.002,Boltenia ovifera,stalked sea squirt,9,147,
BOF2012001,,C,2012.002,Cancer irroratus,rock crab,2,100,
BOF2012001,,C,2012.002,Clupea harengus,herring,181,6371,
BOF2012001,,C,2012.002,Ctenodiscus crispatus,mud star,53,306,
BOF2012001,,C,2012.002,Cucumaria frondosa,orange-footed sea cucumber,4,1772,
BOF2012001,,C,2012.002,Glyptocephalus cynoglossus,witch flounder,1,4,
BOF2012001,,C,2012.002,Hippoglossoides platessoides,American plaice,6,564,
BOF2012001,,C,2012.002,Homarus americanus,American lobster,17,19496,
BOF2012001,,C,2012.002,Doryteuthis pealeii,longfin inshore squid,13,715,
BOF2012001,,C,2012.002,Isodictya palmata,palmate sponge,1,31,
BOF2012001,,C,2012.002,Leucoraja erinacea,little skate,1,492,
BOF2012001,,C,2012.002,Lophius americanus,monkfish,1,16,
BOF2012001,,C,2012.002,Merluccius bilinearis,silver hake,698,38111,
BOF2012001,,C,2012.002,Microgadus tomcod,Atlantic tomcod,1,172,
BOF2012001,,C,2012.002,Myoxocephalus octodecemspinosus,longhorn sculpin,2,458,
BOF2012001,,C,2012.002,Mytilus edulis,blue mussel,1,10,
BOF2012001,,C,2012.002,Ophiopholis aculeata,daisy brittle star,67,201,
BOF2012001,,C,2012.002,Osmerus mordax,smelt,21,1176,
