"MISSION","SETNO","STATION","DATETIME_START","DATETIME_FINISH","LATITUDE_START","LONGITUDE_START","LATITUDE_FINISH","LONGITUDE_FINISH","DEPTH_START","DEPTH_FINISH","SPEED","DEPTH_TRWL_AVE","TEMP_TRWL_AVE"
"BOF2014001",13,"C",26-AUG-14,26-AUG-14,45.0258,-67.0456,45.0381,-67.0256,27,22,2.4,24.35,12.58
"BOF2014001",14,"B",26-AUG-14,26-AUG-14,45.0555,-66.9599,45.0504,-66.9649,39,28,2.4,35.37,12.84
"BOF2014001",15,"D",04-SEP-14,04-SEP-14,45.0192,-66.7761,45.0188,-66.7508,77,43,2.4,44.5,10.78
"BOF2014001",16,"D",04-SEP-14,04-SEP-14,44.9709,-66.827,44.9826,-66.8312,77,67,2.2,72.51,10.88
"BOF2014001",17,"C",05-SEP-14,05-SEP-14,45.0108,-67.0418,45.0199,-67.0233,53,28,2.5,40.39,12.92
"BOF2014001",18,"B",05-SEP-14,05-SEP-14,45.1056,-66.9666,45.0822,-66.9636,34,44,2.4,38.06,12.79
"BOF2014001",19,"C",09-OCT-14,09-OCT-14,44.9924,-67.0177,45.0069,-67.0009,51,37,2.5,47.91,12.58
"BOF2014001",20,"C",09-OCT-14,09-OCT-14,45.0364,-66.9783,45.0421,-66.9677,34,36,2.3,39.6,12.69
"BOF2009001",1,"B",09-JUL-09,09-JUL-09,45.1168,-66.9293,45.1266,-66.945,12.1,14.6,2.2,,
"BOF2009001",2,"B",09-JUL-09,09-JUL-09,45.0877,-66.9474,45.0732,-66.9381,55.8,86.3,2,,
"BOF2009001",3,"C",10-JUL-09,10-JUL-09,44.997,-67.0116,44.9817,-67.0204,46.4,43.5,2.1,,
"BOF2009001",4,"A",10-JUL-09,10-JUL-09,45.1056,-67.1081,45.1112,-67.1112,28.5,29.8,2.1,,
"BOF2009001",5,"C",10-JUL-09,10-JUL-09,45.03,-67.0548,45.0157,-67.0422,32.4,44.8,2,,
"BOF2009001",6,"B",14-AUG-09,14-AUG-09,45.1174,-66.9342,45.1287,-66.9535,15.4,15.5,2,,
