% Device,CC1349003
% File name,CC1349003_20170829_125236
% Cast time (UTC),2017-08-29 12:52:36
% Cast time (local),2017-08-29 12:52:36
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,44.2927305
% Start longitude,-66.4386102
% Start altitude,-14.720000267028809
% Start GPS horizontal error(Meter),3.6500000953674316
% Start GPS vertical error(Meter),5.3000001907348633
% Start GPS number of satellites,4
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),168.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-12-11
% Temperature calibration date,2013-12-11
% Pressure calibration date,2013-12-11
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14932411698529247,11.791113701380027,36906.496582974127,50156.808084868833,32.178418795092952,1492.7364622787541,1024.4382280879295
0.44999999999999996,0.44794515893461723,11.525452783747287,36887.440410741743,50495.527911916164,32.390995015881927,1492.0744404576212,1024.6531232825462
0.74999999999999989,0.74653337259520447,11.480314912858432,36836.152271316423,50487.71146755173,32.38025881207745,1491.9093659041282,1024.6543059882417
1.05,1.0451201043128486,11.451343536376953,36814.01171875,50497.468882060704,32.383849699326205,1491.8176594028832,1024.6636840706913
1.35,1.3437036202906083,11.445174217224121,36822.57421875,50517.764024499462,32.397508951122639,1491.8174819260175,1024.6767667649169
1.65,1.6422859202936944,11.427562713623047,36795.26171875,50504.698884218022,32.386084419011361,1491.7472996198239,1024.6724195769546
1.9500000000000002,1.9408682125295329,11.417424201965332,36788.427734375,50509.376405030926,32.388153877741054,1491.719356238865,1024.6772097538694
2.25,2.2394491658140812,11.407285690307617,36781.59375,50514.056530987189,32.39022362151244,1491.6914044866228,1024.6819992987128
2.55,2.5380287586562353,11.403841972351074,36782.53125,50520.12268091998,32.39403595336217,1491.6889026855556,1024.6869370712457
2.85,2.8366070996263133,11.404638290405273,36787.09375,50525.283971432189,32.397681248445487,1491.7009977394325,1024.6909814984431
3.15,3.1351852107351927,11.392093658447266,36768.51953125,50517.180841992253,32.390360032137593,1491.6533627658114,1024.6889044600691
3.4499999999999997,3.4337638036699603,11.391860961914063,36765.501953125,50513.35790659616,32.387481658151081,1491.6540353776848,1024.6880640312324
3.75,3.7323426982633636,11.391628265380859,36762.484375,50509.534922310595,32.384603307233455,1491.6547079968559,1024.6872236254312
4.05,4.0309184494084489,11.372560501098633,36769.203125,50545.249796050768,32.4077905388171,1491.6209028105641,1024.7100300390864
4.35,4.3294904894656625,11.361605644226074,36759.171875,50546.684096769328,32.407445526399613,1491.5871619286022,1024.7130859045706
4.6499999999999995,4.6280621132150861,11.359201431274414,36755.0546875,50544.364618367406,32.405392803213424,1491.5812374708676,1024.7132772888647
4.9499999999999993,4.9266337380068954,11.356797218322754,36750.9375,50542.044833199179,32.403339837289749,1491.5753120759539,1024.7134684333419
5.2499999999999991,5.2252032182474268,11.353806495666506,36765.4765625,50566.199397692457,32.420099440416031,1491.5899285277792,1024.7283875891892
5.55,5.52377180585453,11.353635787963867,36752.61328125,50548.744966821483,32.407507024641873,1491.5791499637958,1024.7199852729652
5.85,5.8223408755540387,11.353041648864746,36757.484374999993,50556.270820529644,32.412680376926367,1491.5882267432003,1024.7254680636486
6.1499999999999995,6.1209080682230077,11.350925922393799,36763.662109375,50567.710693067849,32.420472056621321,1491.5951309907985,1024.7332594003738
6.4499999999999993,6.4194730474625139,11.348810195922852,36769.83984375,50579.151897349271,32.428264708415135,1491.6020364390176,1024.741051520514
6.7499999999999991,6.7180386720553207,11.35136890411377,36755.56640625,50555.959121102715,32.41189035405359,1491.5962533224956,1024.729219167946
7.0499999999999989,7.01660552074977,11.346770286560059,36753.7265625,50559.82453562101,32.41399816919597,1491.587654020922,1024.7330384796385
7.35,7.3151714006574968,11.347798824310303,36757.46484375,50563.536214971158,32.416635972618487,1491.5993568211322,1024.7362589424777
7.6499999999999995,7.6137363990455462,11.348827362060547,36761.203125,50567.247684267633,32.419273659496561,1491.6110593718959,1024.7394792645239
7.9499999999999993,7.9123011688391562,11.349634170532227,36758.8125,50562.836929180819,32.416094141429909,1491.6150006532103,1024.7382177934198
8.25,8.2108660617043245,11.34782886505127,36756.1796875,50561.726566894569,32.414971193841289,1491.6122831662196,1024.7390241345702
8.5499999999999989,8.5094297881723691,11.343082427978517,36759.1171875,50572.371317631,32.4218960535364,1491.6089514131763,1024.7466141842758
8.85,8.8079926414006167,11.3449125289917,36757.95703125,50568.228774699652,32.419024331041555,1491.6168390713197,1024.7454081492815
9.1499999999999986,9.1065553293531245,11.345167636871338,36760.177734375,50570.928853114776,32.420852830486012,1491.6248670500461,1024.7481384139089
9.45,9.4051172786103567,11.345422744750977,36762.3984375,50573.628893626286,32.422681314463631,1491.6328950192415,1024.7508686463648
9.75,9.7036779364129888,11.339343070983887,36762.4296875,50582.13300071175,32.427927555770246,1491.6228864483974,1024.7573934353618
10.049999999999999,10.002237812382584,11.347253799438477,36768.72265625,50579.780881297338,32.427024807864562,1491.654391684601,1024.7566253226148
10.35,10.300798128712954,11.345876693725586,36763.0703125,50573.921523877332,32.4225638629265,1491.64916144899,1024.7547601989986
10.649999999999999,10.599358713995166,11.346235275268555,36762.36328125,50572.449942655534,32.42142937581189,1491.6539924595058,1024.7551687495918
10.95,10.897918474791954,11.342129707336426,36763.46875,50579.684027954092,32.4259947131201,1491.6500665319659,1024.7608097115326
11.25,11.196476962479919,11.339347839355469,36763.248046875,50583.2523596646,32.428096504933592,1491.6478075676955,1024.7642979478239
11.549999999999999,11.495034490640702,11.336565971374512,36763.02734375,50586.821237746364,32.4301985272673,1491.645548310747,1024.7677863249965
11.85,11.793593674611712,11.343000411987305,36749.6875,50559.512262887569,32.411332322226116,1491.6503202654296,1024.7533210126828
12.149999999999999,12.092152706312476,11.3427095413208,36768.5625,50585.88498773738,32.429978838089404,1491.67663992158,1024.7692213237629
12.45,12.390710735948092,11.346418380737305,36759.7890625,50568.65394195453,32.417987982420762,1491.680141346372,1024.7605895314541
12.75,12.689270103633474,11.34005641937256,36750.73046875,50565.043219303472,32.414563360460711,1491.6587312782115,1024.760425612317
13.049999999999999,12.987828055389997,11.336996555328369,36759.09375,50580.809140387988,32.425330784744212,1491.6659083383627,1024.770699252512
13.35,13.286383070565552,11.33393669128418,36767.45703125,50596.577716927954,32.436100151407132,1491.6730877387697,1024.7809744668721
13.649999999999999,13.584937576526006,11.330066680908203,36753.0546875,50582.145926550256,32.425242152479278,1491.6514549555564,1024.7745846325179
13.95,13.883492086248513,11.326212882995606,36755.90234375,50591.431677915891,32.431297653882027,1491.6501944772806,1024.7813383311172
14.249999999999998,14.182046533973361,11.3250093460083,36745.109375,50578.251783764324,32.421636775318674,1491.6393207368899,1024.7753999254071
14.549999999999999,14.480600790143004,11.306673049926758,36732.75,50586.774984156946,32.425493323117074,1491.5847591118254,1024.78304304632
14.85,14.779151803472717,11.289283752441406,36731.109375,50608.75495032176,32.439047207868526,1491.5451369295377,1024.798051888941
15.149999999999999,15.077700718325795,11.286434650421143,36725.96484375,50605.639817693911,32.436373508503031,1491.5368920497522,1024.7978389949346
15.45,15.376249752016728,11.283585548400877,36720.8203125,50602.5241958459,32.433699438875593,1491.5286458079017,1024.7976257355281
15.749999999999998,15.674796382949083,11.267472267150877,36723.3515625,50628.4960969861,32.450238933470466,1491.4970497861398,1024.8147243853302
16.05,15.973340339242174,11.265782356262205,36721.9609375,50628.938012085964,32.45023343515301,1491.4960654896624,1024.8163776930082
16.35,16.271884720007218,11.260560035705566,36708.94921875,50618.287724462753,32.4419139895697,1491.472716140878,1024.8121999073344
16.650000000000002,16.570428268438743,11.262211799621584,36722.625,50634.838827430853,32.453777012437655,1491.4977007731154,1024.8224817689397
16.95,16.86897110150958,11.256511688232422,36708.0234375,50622.662975895342,32.444314694968831,1491.4713021224818,1024.8175008579585
17.25,17.167513906009283,11.254196166992188,36711.046875,50630.065973471719,32.449199253725837,1491.4740028611413,1024.8230676239689
17.55,17.466054147015289,11.248838424682617,36719.6015625,50649.349273350548,32.4622024638875,1491.4758058290208,1024.8354904325831
17.85,17.764594162118378,11.253500938415527,36709.51171875,50628.919647110917,32.448049492100473,1491.4800653640621,1024.8250082661446
18.150000000000002,18.063136205173112,11.244417190551758,36693.6171875,50619.681638949543,32.440291465211025,1491.443854211464,1024.8219570060035
18.45,18.361677267617505,11.243657112121582,36704.421875,50635.6488273976,32.451459456681079,1491.4595573655274,1024.8321304505435
18.75,18.660216481076741,11.237437248229981,36699.560546875,50637.632423451236,32.452029611867154,1491.4433874721669,1024.835041105488
19.05,18.958754903470709,11.231217384338381,36694.69921875,50639.616700558305,32.452599661393194,1491.4272140405778,1024.8379513602565
19.35,19.257297755464954,11.202158927917481,36617.2265625,50573.263649011875,32.40182611556925,1491.2692034156471,1024.8050194129435
19.650000000000002,19.555833476776971,11.111287117004395,36620.5625,50705.147093408072,32.485096814461095,1491.0552202607444,1024.887300779495
19.95,19.854356533746433,11.094121932983398,36606.1796875,50709.336766063112,32.485941653066696,1491.0008235691189,1024.8923608853283
20.25,20.152876513396745,11.064541816711426,36592.6640625,50732.190427473914,32.498617896865454,1490.9169624956846,1024.9088210193665
20.55,20.451390544552861,11.043907165527344,36600.03125,50771.453663331675,32.524029073342007,1490.8798708652682,1024.9335973382747
20.85,20.749900267854144,11.05449104309082,36617.07421875,50780.1846030593,32.531373946707753,1490.930914727755,1024.9387922612032
21.150000000000002,21.048411227777855,11.052474021911621,36595.8671875,50753.614253016487,32.512076790832616,1490.9055127069705,1024.9254952364674
21.45,21.346921341562638,11.0478515625,36614.390625,50785.815295424378,32.534346759248685,1490.9210016789216,1024.944992535482
21.75,21.645430702276276,11.061516761779785,36610.015625,50760.504427536369,32.517799336389672,1490.9541110029716,1024.9310562531287
22.05,21.943942375371265,11.05678653717041,36601.03125,50754.704960005984,32.512981739759347,1490.936599675541,1024.9295030155765
22.35,22.242454425154744,11.056745529174805,36598.51171875,50751.268842520512,32.510401613126291,1490.9382869932588,1024.9288592768651
22.650000000000002,22.540966180600442,11.05476713180542,36598.623046875,50754.208053932794,32.51213503377199,1490.9383498246332,1024.9319139508455
22.95,22.839477103116682,11.052788734436035,36598.734375,50757.147587923624,32.513868593838474,1490.938412546745,1024.9349687157303
23.25,23.137985260101406,11.042180061340334,36606.390625,50782.70870782432,32.530698981955361,1490.9262745296664,1024.9512948959173
23.55,23.43649278699634,11.043985366821287,36591.6875,50759.769109332286,32.514441589710657,1490.9179877041322,1024.9396853011031
23.85,23.734999459357962,11.039892196655272,36608.68359375,50789.113621637742,32.534737181141161,1490.932961092662,1024.957552953603
24.150000000000002,24.033504346923667,11.050539970397951,36612.25,50779.059107108078,32.528705959638728,1490.9681230491017,1024.9523315232914
24.45,24.332009996093177,11.055903434753418,36617.15234375,50778.30376655548,32.528674589125892,1490.9919038840351,1024.9527125320185
24.75,24.630515028895111,11.065176010131836,36631.484375,50785.117982938813,32.5344981600324,1491.0364900393113,1024.9569540258979
25.05,24.929021732651183,11.097724914550781,36646.58203125,50760.237823849646,32.5204773339407,1491.1390389258493,1024.9416275114113
25.35,25.227533719600483,11.123197555541992,36646.8671875,50724.838424329449,32.498114543635523,1491.2065992963674,1024.921063679293
25.650000000000002,25.526047220243985,11.126233100891113,36662.41796875,50742.099053562357,32.510643857192839,1491.2372863255139,1024.9316226387741
25.95,25.82456101528102,11.137834548950195,36657.96875,50719.653249207913,32.495879462487132,1491.2652161600272,1024.9194318454179
26.25,26.123077021122409,11.136875152587891,36651.85546875,50712.541294712959,32.490572345210872,1491.2603983949948,1024.9168310449616
26.55,26.421593841230379,11.135915756225586,36645.7421875,50705.428962578007,32.4852651355603,1491.2555803207833,1024.9142301750637
26.85,26.720110760370083,11.13298225402832,36643.80859375,50706.869884321168,32.485822055752621,1491.250883789098,1024.9165407295382
27.150000000000002,27.018626590467218,11.130249977111816,36646.3359375,50714.202033912188,32.490600375519129,1491.2519743004687,1024.9220981133099
27.45,27.317141144818105,11.125452995300293,36643.97265625,50717.665271930528,32.492379765499216,1491.2421995655725,1024.9256907720508
27.75,27.615655783209736,11.130342483520508,36642.91796875,50709.342134610662,32.486894666321092,1491.2577184909496,1024.9219107307474
28.05,27.91417067717148,11.120067596435547,36632.84375,50709.821697032283,32.485906281404752,1491.2253606239074,1024.9243255163708
28.35,28.212682643568769,11.098039627075195,36629.9375,50736.740662955359,32.502374849022694,1491.1726851397775,1024.9424039563435
28.65,28.511193002263465,11.08479118347168,36604.7109375,50720.413970784553,32.489057289664942,1491.1149941902534,1024.935755232807
28.95,28.809701401985937,11.0694580078125,36612.484375,50752.7509383006,32.510162617957477,1491.0914009601761,1024.9562463385882
29.25,29.108206472402333,11.070638656616209,36615.7734375,50755.648917216778,32.512239623264435,1491.1029960417723,1024.9590078809897
29.55,29.406711894881454,11.068520545959473,36605.515625,50744.409627719935,32.503855257289864,1491.0903849532515,1024.9542183454537
29.85,29.705216486712544,11.060093879699707,36608.5546875,50760.481669335109,32.514184056293907,1491.0781069349321,1024.965101973939
30.15,30.003718698183434,11.061212539672852,36615.796875,50768.948540924721,32.52022144740787,1491.0942547758673,1024.9709549006177
30.45,30.302221662470465,11.077568054199219,36618.74609375,50750.020121558322,32.508538431444379,1491.1426775389132,1024.9603218204279
30.75,30.600726917260431,11.070969581604004,36603.546875,50738.235344895751,32.499237498806913,1491.1131994314176,1024.9556148547863
31.05,30.899230362248414,11.055169105529783,36606.92578125,50765.156133514836,32.516424259614489,1491.0832275271637,1024.973140235845
31.35,31.19773065268117,11.0374116897583,36591.18359375,50768.329186289862,32.516456578324338,1491.025683292127,1024.9776682610893
31.65,31.496228001527694,11.040285110473633,36613.6796875,50795.491177814976,32.536020445321654,1491.0643084786302,1024.9937317607107
31.950000000000003,31.79472386145606,11.047856330871582,36613.486328125,50784.5542770445,32.528998025660513,1491.0874466227415,1024.98828335015
32.25,32.093221364593674,11.055427551269531,36613.29296875,50773.62196951791,32.521977994594053,1491.1105838326055,1024.9828363908098
32.55,32.391720995053269,11.054961204528809,36599.71484375,50755.448932715488,32.508848983889436,1491.0980683083365,1024.9740634312493
32.85,32.690221100200169,11.051074028015137,36601.3828125,50763.234937268746,32.513809130031923,1491.0952975622179,1024.9799661418276
33.15,32.988718294671806,11.037815093994141,36603.6484375,50785.055006844959,32.527657025245887,1491.0702320551611,1024.9944426894249
33.45,33.287215837672456,11.04982852935791,36594.1015625,50754.88990564664,32.507462887294565,1491.093147179256,1024.9779623057743
33.75,33.585715421450445,11.03413200378418,36578.5078125,50755.361345541292,32.505813771800369,1491.0408252538189,1024.9808169568973
34.05,33.884211052182593,11.026895523071289,36600.828125,50796.53352529525,32.534157758612189,1491.0544222321389,1025.0055006031926
34.35,34.182705243835571,11.040793418884277,36596.1015625,50770.388344620573,32.517053129042559,1491.0877036729173,1024.9910898132869
34.65,34.4812017731814,11.045529365539551,36598.16796875,50766.584113117206,32.514776783208227,1491.1065774979318,1024.9898354337229
34.95,34.779698366467834,11.035022735595703,36586.26953125,50764.876436597573,32.512188933076835,1491.0713996636796,1024.9910404080888
35.25,35.078192227342981,11.013603210449219,36583.86328125,50791.728707994596,32.5286474901587,1491.0207093865347,1025.0089909797471
35.55,35.376683540029894,11.010276317596436,36578.40625,50788.844172414676,32.526070117239563,1491.0108191973955,1025.0089307501185
35.85,35.675174927067211,11.006949424743652,36572.94921875,50785.9591037965,32.523492302295793,1491.0009272656969,1025.0088700696431
36.15,35.973665203364085,10.998082160949707,36571.8359375,50796.922699916351,32.530119022086588,1490.9825967837094,1025.0169490886251
36.45,36.272154034382581,11.001438140869141,36576.88671875,50799.20220913009,32.5320150145693,1491.0016506365387,1025.0191860467546
36.75,36.570642134672745,11.001313209533693,36579.234375,50802.63900666999,32.534320914361821,1491.00892827762,1025.0223575541124
37.05,36.86913011881532,11.000848770141602,36574.5,50796.719035044211,32.529921659479541,1491.0069288648024,1025.0203734919664
37.35,37.167617496361558,10.997556686401369,36577.66015625,50805.753950055972,32.535837788335712,1491.0073929368145,1025.0269135063081
37.65,37.46610367419715,10.996286392211914,36577.3125,50807.063958566847,32.5364922922553,1491.0086428416723,1025.0290030662504
37.95,37.76458855044983,10.994273185729979,36582.8203125,50817.556620372816,32.54359890806537,1491.0150495190983,1025.036242881642
38.25,38.06307337988644,10.998611971037974,36577.588242435653,50804.164715938889,32.53444977478653,1491.0242578525154,1025.0297143393609
38.404526870021613,38.216820654396223,11.008737564086914,36582.23046875,50796.324647097674,32.530005235122665,1491.0571354961387,1025.0251636098917
38.404526870021613,38.216657685803547,11.008737564086914,36582.23046875,50796.324647097674,32.530005235122665,1491.0571354961387,1025.0251636098917
38.25,38.062910411301694,10.998611971037974,36577.588242435653,50804.164715938889,32.53444977478653,1491.0242578525154,1025.0297143393609
37.95,37.764423377366661,11.00466471226034,36574.841255195941,50791.809266233,32.526497111617829,1491.0310700621155,1025.0211017384743
37.65,37.465936228862006,11.004932103951171,36586.4401551148,50807.539435826089,32.537860638699534,1491.0407669941451,1025.0285377151383
37.35,37.167449269001231,11.006237301058816,36581.055737133967,50798.220640591964,32.531505373629528,1491.0327694455568,1025.0220076467226
37.05,36.86896146462518,11.008962880027358,36586.199523310344,50801.51800706701,32.534305607872504,1491.0408103138814,1025.0223476815809
36.75,36.570473723504591,11.006904582620297,36585.13192722838,50802.93953522345,32.535200509662843,1491.0296954968289,1025.022052366239
36.45,36.271985530390381,11.008620349782392,36584.53934617195,50799.696004449994,32.533221444136892,1491.0284182596336,1025.0188535969185
36.15,35.973497667337014,11.005505821630147,36589.263620015576,50810.650739469325,32.5407814001404,1491.0216125001168,1025.0239295497238
35.85,35.675010037346013,11.00763189813474,36588.267440826923,50806.267327347152,32.538039216974617,1491.0208617856902,1025.0200645693287
35.55,35.37652181395076,11.004843960289451,36585.98186050239,50807.027383390261,32.538376104510654,1491.0065029207315,1025.019464224247
35.25,35.078032904053352,11.0087477871826,36586.155903505867,50801.760893958104,32.535216368832494,1491.0115143997768,1025.0149598722874
34.95,34.77954300874444,11.012418581106694,36588.473389126404,50799.800222695856,32.534383477762354,1491.0185073533144,1025.0123066077226
34.65,34.481052522605722,11.016189207066034,36592.019997569929,50799.405494003404,32.534677717706067,1491.0272089944108,1025.0105122999478
34.35,34.182560467021951,11.018113136291504,36583.6328125,50785.049003078784,32.524806736641473,1491.0171551047556,1025.0011379954362
34.05,33.884067238413941,11.022111384583477,36590.975224817572,50789.603688357856,32.528653204414866,1491.0309369444435,1025.0020662934562
33.75,33.585574468302063,11.018646627747508,36591.088585255704,50794.646677628371,32.531961337937759,1491.0177767812797,1025.0038971744884
33.45,33.28708001236248,11.036549198461822,36594.937419324087,50774.75262376968,32.520040587769614,1491.0615380125985,1024.990098609826
33.15,32.988582849851731,11.056781890322199,36612.622729597009,50770.785425285,32.519736127823641,1491.1274690941536,1024.9849192668521
32.85,32.690084797193229,11.06024395348369,36616.436230654777,50771.198716637293,32.520566823889716,1491.135716083428,1024.9835956210545
32.55,32.391585625878506,11.073045716261376,36623.712331472474,50763.266040165363,32.516553783375286,1491.1709945899183,1024.9768470425267
32.25,32.093086390494491,11.057431952743849,36615.459442495739,50773.803706380466,32.52234444989913,1491.1180806613863,1024.9827658901779
31.950000000000003,31.794588447798525,11.047751820759117,36609.532597256766,50779.217493633172,32.525183521137023,1491.0824839583413,1024.9853350098347
31.65,31.496089577408728,11.05143342089961,36603.175108880489,50765.214633131654,32.515770161471394,1491.0791675644598,1024.9760051384294
31.35,31.197588622888286,11.060702819869919,36608.2595361115,50759.215258472272,32.512718621524193,1491.1031819067648,1024.9706323503456
31.05,30.89908734126271,11.060786223791201,36613.551279914951,50766.435114161577,32.517999243847456,1491.1048959892723,1024.9733690073588
30.75,30.600584208737668,11.077813948517315,36613.753314414505,50742.75476704599,32.503264147935994,1491.1421308659951,1024.9575317733259
30.45,30.302078115821846,11.098363544967794,36632.188610182609,50739.403414437096,32.503422130147037,1491.2096615933344,1024.9526491522922
30.15,30.003572561815787,11.078690266237336,36622.325813573749,50753.40255331435,32.511207578719187,1491.1449003580851,1024.9608429240229
29.85,29.705068829924052,11.060191844867745,36608.236201088745,50759.90216383028,32.513782759976614,1491.077968430423,1024.9647724843235
29.55,29.40656630680019,11.056079336712653,36610.4213754413,50768.722014326457,32.519707632046178,1491.0656897037943,1024.9687543023679
29.25,29.108064755606165,11.049903715298893,36608.097213183857,50774.1955461147,32.523004179919027,1491.0429813685466,1024.9710574389126
28.95,28.809563316540359,11.048401832580566,36605.5390625,50772.762732321593,32.52193282898763,1491.031464245242,1024.9691346129398
28.65,28.511060790226914,11.055417103605786,36607.355603266595,50765.403015689437,32.5176459454458,1491.0460577187009,1024.9632011043718
28.35,28.212556130174704,11.07007630280865,36613.648441027617,50753.494577687707,32.51101937318051,1491.0847297666358,1024.9540917202055
