% Device,CC1349003
% File name,CC1349003_20170925_175550
% Cast time (UTC),2017-09-25 17:55:50
% Cast time (local),2017-09-25 17:55:50
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,44.2891304
% Start longitude,-66.3488268
% Start altitude,-20.200000762939453
% Start GPS horizontal error(Meter),11.340000152587891
% Start GPS vertical error(Meter),7.9600000381469727
% Start GPS number of satellites,4
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),104.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-12-11
% Temperature calibration date,2013-12-11
% Pressure calibration date,2013-12-11
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14934089126151548,13.107991227182421,38271.725641387464,50214.829500233871,32.351260027628989,1497.4197123412712,1024.3217352739359
0.44999999999999996,0.44803421819104755,12.99322884961409,38080.086511173911,50114.306764902271,32.268369317750043,1496.9423864325192,1024.2814521325304
0.74999999999999989,0.746698038700863,12.795330047607422,38160.54296875,50483.145564124658,32.513893341887261,1496.5731022283048,1024.5114352550982
1.05,1.0453273234123992,12.779449462890623,38150.1875,50490.660984186041,32.517624761248115,1496.5289835439428,1024.518753503047
1.35,1.3439545505422554,12.77182674407959,38149.33203125,50499.718069936316,32.523259637352261,1496.5149314243229,1024.5259429258008
1.65,1.6425790334242487,12.762747764587402,38153.3515625,50517.181377196939,32.534780746872819,1496.5029481048418,1024.5379730766342
1.9500000000000002,1.9412026010682839,12.764429092407227,38146.328125,50505.633266238838,32.52654067758872,1496.5037919660629,1024.5326125587671
2.25,2.239827470174486,12.762909412384033,38138.51953125,50497.326774751615,32.520314747017345,1496.4962359330739,1024.5294324833481
2.55,2.5384533230096054,12.761389732360838,38130.7109375,50489.019614686826,32.514088571051296,1496.4886792063567,1024.5262522031569
2.85,2.8370793146179043,12.743977546691895,38112.1796875,50487.762770037443,32.511373647699081,1496.4317034997446,1024.5288698935306
3.15,3.1357045652562685,12.735187530517578,38104.0703125,50488.778254625206,32.5111246681578,1496.406712157155,1024.5317260693103
3.4499999999999997,3.4343282616012756,12.721298217773439,38097.25390625,50498.333443226278,32.516500353722343,1496.3711822094226,1024.5399245837309
3.75,3.7329480567640774,12.708503723144531,38106.33203125,50527.504765273,32.536045053391163,1496.3561451637745,1024.5588849426595
4.05,4.031564892390243,12.713265419006348,38112.5625,50529.385451720154,32.537737280404592,1496.3791727567141,1024.5606222385602
4.35,4.3301812785502705,12.718027114868164,38118.79296875,50531.265663314422,32.539428997278705,1496.4021977102343,1024.5623588212065
4.6499999999999995,4.6287991266658848,12.719974517822266,38103.9140625,50508.933992646693,32.523484993560352,1496.3948010783213,1024.5509799674981
4.9499999999999993,4.9274175234962172,12.71866512298584,38111.55078125,50520.810660959389,32.531751181657235,1496.4051400966173,1024.5589831494392
5.2499999999999991,5.2260349781109543,12.715761184692383,38104.890625,50515.871121362325,32.52780409399552,1496.3956073606289,1024.5578350241115
5.55,5.5246547895899951,12.71098804473877,38077.7265625,50486.248884975044,32.505978164805619,1496.3585508722563,1024.5432001919312
5.85,5.8232734055212072,12.698657989501953,38093.14453125,50523.210324698957,32.531150152251996,1496.3517485745026,1024.5664285617836
6.1499999999999995,6.1218879092119467,12.694621086120606,38094.0234375,50529.786929634975,32.535348246437024,1496.3480507805466,1024.5718079584206
6.4499999999999993,6.4205018643900438,12.694392204284668,38090.390625,50525.27497799835,32.531969115179905,1496.348217302741,1024.5705821539175
6.7499999999999991,6.7191160236019556,12.693823337554932,38088.31640625,50523.286090087378,32.530365657418258,1496.3493431518471,1024.5707974686197
7.0499999999999989,7.0177301768411429,12.693254470825195,38086.242187499993,50521.297142143791,32.528762177409632,1496.3504689225583,1024.5710127640332
