% Device,CC1349003
% File name,CC1349003_20170828_182816
% Cast time (UTC),2017-08-28 18:28:16
% Cast time (local),2017-08-28 18:28:16
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,44.1586803
% Start longitude,-66.4288777
% Start altitude,-19.979999542236328
% Start GPS horizontal error(Meter),1.5199999809265137
% Start GPS vertical error(Meter),2.7200000286102295
% Start GPS number of satellites,8
% End latitude,44.1595299
% End longitude,-66.4293573
% End altitude,-14.890000343322754
% End GPS horizontal error(Meter),2.0399999618530273
% End GPS vertical error(Meter),3.8399999141693115
% End GPS number of satellites,9
% Cast duration (Seconds),171.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-12-11
% Temperature calibration date,2013-12-11
% Pressure calibration date,2013-12-11
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14947540843060145,13.393497196354643,37347.912027959705,48638.330388284849,31.247979093723341,1497.0700347579198,1023.4123096624547
0.44999999999999996,0.44831404827683924,12.474396609250888,37393.146079785,49891.591944343905,32.0590893458522,1494.9422170942221,1024.2194133953667
0.74999999999999989,0.74702777358438965,12.384417533874512,37336.9140625,49936.4662143907,32.082127934697439,1494.6682761115981,1024.2556799109225
1.05,1.0457369122047151,12.37178897857666,37314.734375,49923.666213023193,32.07159780171478,1494.6176530722937,1024.2512565854759
1.35,1.3444450366907996,12.348747253417969,37302.4375,49938.003605443912,32.079420496005866,1494.5533375538464,1024.2630242915052
1.65,1.6431517706423431,12.335207939147949,37282.7109375,49929.695045848523,32.072004899566977,1494.5032698233531,1024.2611822266449
1.9500000000000002,1.9418576376498882,12.322542190551758,37277.49609375,49939.65296285048,32.077729029748788,1494.4718051627365,1024.2693593315992
2.25,2.2405611766813616,12.309876441955566,37272.28125,49949.617640768578,32.083455595332921,1494.4403309288666,1024.2775371418975
2.55,2.5392658604903477,12.290802001953125,37227.64453125,49915.317628862183,32.056905486896454,1494.3485272194455,1024.2618979628746
2.85,2.8379713516995451,12.26418924331665,37209.56640625,49926.708673694753,32.0622379349742,1494.2688798466186,1024.2723894156277
3.15,3.1366738407944448,12.237576484680176,37191.48828125,49938.116000313363,32.067572441552642,1494.1891762168721,1024.282876270642
3.4499999999999997,3.4353695878244537,12.21522331237793,37212.765625,49996.698008020394,32.10703143335099,1494.1646492700652,1024.3190187687362
3.75,3.7340696129144662,12.207124710083008,37114.34375,49875.3182880887,32.019385907636057,1494.0374497518862,1024.2539266778692
4.05,4.0327693386514394,12.086012840270996,37064.875,49971.501600398457,32.075549301176153,1493.6940827392696,1024.3214615049528
4.35,4.3314571752670137,12.06342887878418,37056.68359375,49990.900349430383,32.0869437202667,1493.6350510833977,1024.3358564713954
4.6499999999999995,4.6301408707631762,12.040844917297363,37048.4921875,50010.322753462708,32.098347304504316,1493.5759913055588,1024.3502547445651
4.9499999999999993,4.9288203063418461,12.009864807128906,37031.8046875,50029.640584321816,32.108793759576521,1493.4868701650407,1024.3654653868239
5.2499999999999991,5.2274985185870531,12.0003604888916,37010.6953125,50013.965841780788,32.096490278106778,1493.4444281049725,1024.3590353723614
5.55,5.5261755082705122,11.951713562011719,36973.890625,50030.00816586092,32.102729931651851,1493.2893261061702,1024.3742409787137
5.85,5.8248487614566278,11.932875633239746,36965.189453125,50043.746688189327,32.1104339364808,1493.2385559292081,1024.3850551449077
6.1499999999999995,6.1235189183076821,11.914037704467773,36956.488281250007,50057.499232571216,32.118142589403959,1493.1877632758237,1024.3958701495335
6.4499999999999993,6.4221849002423621,11.903288841247559,36966.8515625,50086.1206727751,32.137312321408331,1493.1785395078655,1024.4140837629354
6.7499999999999991,6.7208527454587959,11.886788368225098,36905.625,50025.533033110478,32.092209400708164,1493.0726643463809,1024.383478232294
7.0499999999999989,7.0195219706337717,11.857807159423828,36899.67578125,50056.797494279941,32.111325916693694,1493.0004057505978,1024.4050069273753
7.35,7.3181849742493377,11.828825950622559,36893.7265625,50088.111160486704,32.130464326603843,1492.9281117844089,1024.4265468333817
7.6499999999999995,7.616843479761533,11.802921295166016,36875.53125,50098.646999040706,32.135094282935,1492.8490443314245,1024.4362538010867
7.9499999999999993,7.91549865034925,11.77879810333252,36864.484375,50116.4886783776,32.145117728070424,1492.7825356563697,1024.449815007891
8.25,8.21415084756813,11.766912460327148,36858.91796875,50125.119981888784,32.149876668107687,1492.7520418624795,1024.45704193074
8.5499999999999989,8.51280250627512,11.757155418395996,36842.001953125,50115.414990310353,32.141782006960554,1492.7135279005888,1024.4538990415249
8.85,8.8114551386135265,11.747398376464844,36825.0859375,50105.70484506042,32.133683322987132,1492.6749989939819,1024.4507519013316
9.1499999999999986,9.1101066205390939,11.711273193359375,36797.6171875,50117.598746420277,32.138149758885227,1492.5601361318973,1024.4621811103446
9.45,9.4087527270287818,11.694609642028809,36811.3125,50159.019075430529,32.1657652657525,1492.5403688536296,1024.488020843753
9.75,9.7073945562406649,11.685003280639648,36803.91796875,50162.075340706193,32.166780004819472,1492.5132156370935,1024.4919163338502
10.049999999999999,10.006035678108281,11.673134803771973,36790.5859375,50160.132388949671,32.163982482975172,1492.4736430888784,1024.493263526989
10.35,10.304676637145681,11.664019584655762,36778.8046875,50156.536441100252,32.160303872759748,1492.4425559565307,1024.4934231093855
