% Device,CC1349003
% File name,CC1349003_20170829_123019
% Cast time (UTC),2017-08-29 12:30:19
% Cast time (local),2017-08-29 12:30:19
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,44.3396762
% Start longitude,-66.3396807
% Start altitude,-12.270000457763672
% Start GPS horizontal error(Meter),3.0699999332427979
% Start GPS vertical error(Meter),7.4899997711181641
% Start GPS number of satellites,4
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),271.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-12-11
% Temperature calibration date,2013-12-11
% Pressure calibration date,2013-12-11
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14931653142607784,11.931290294013916,37130.611314673879,50269.853854378147,32.27404562935201,1493.3346000079275,1024.4866234335952
0.44999999999999996,0.44792648432727128,11.538023088387629,36922.342891262764,50525.917620043983,32.414079522787944,1492.1458446039412,1024.6687792082996
0.74999999999999989,0.7465097619823422,11.434875635184314,36794.894931460927,50494.058632011562,32.379693973869543,1491.7503146945674,1024.6620708784678
1.05,1.0450915834569352,11.374390602111816,36747.26171875,50512.546204164493,32.385933604291637,1491.5516501050311,1024.6791635393856
1.35,1.3436694763397314,11.361732482910156,36744.765625,50526.6981465609,32.394466177389816,1491.5226181927185,1024.6894249618238
1.65,1.6422444356592245,11.349074363708496,36742.26953125,50540.859945437951,32.403003017319357,1491.4935795523647,1024.6996886541826
1.9500000000000002,1.9408165957463983,11.335354804992676,36737.359375,50553.186520628231,32.410107670447168,1491.4590983241935,1024.7090284223675
2.25,2.2393863585399161,11.326380729675293,36735.40625,50562.98688736499,32.4159485074696,1491.4396784058813,1024.7165335161594
2.55,2.5379551225119088,11.322275638580322,36728.779296875,50559.579006474611,32.412924749470143,1491.426631527363,1024.7162741432792
2.85,2.8365240189262386,11.318170547485352,36722.15234375,50556.170355189628,32.409900343849991,1491.4135820629579,1024.716014096959
3.15,3.1350924198609555,11.314614295959473,36721.794921875,50560.629148635671,32.412548032492381,1491.4092644100804,1024.7200649008762
3.4499999999999997,3.433659697267728,11.311058044433594,36721.4375,50565.08881545702,32.415196094287914,1491.4049462739927,1024.7241159291009
3.75,3.7322240505897146,11.299436569213867,36728.15625,50590.532142239557,32.431884335027718,1491.389279023467,1024.7405265567334
4.05,4.0307862090359086,11.297592163085938,36723.17578125,50586.242217186074,32.4284884227831,1491.3836852002594,1024.7395720748691
4.35,4.329348438829987,11.2915620803833,36715.8359375,50584.535127169453,32.426455320540335,1491.3650809464439,1024.740426483485
4.6499999999999995,4.6279098304538646,11.287829399108887,36716.8984375,50591.202402425391,32.430655638648325,1491.3620043880135,1024.7457154060694
4.9499999999999993,4.9264707406594823,11.287138938903809,36712.384765625,50585.945653413422,32.426702392774686,1491.3597772711016,1024.7441208788705
5.2499999999999991,5.22503217220726,11.286448478698731,36707.87109375,50580.688704350134,32.422749107480314,1491.3575499993062,1024.7425263251384
