% Device,CC1349003
% File name,CC1349003_20170830_131259
% Cast time (UTC),2017-08-30 13:12:59
% Cast time (local),2017-08-30 13:12:59
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,44.2492511
% Start longitude,-66.3362836
% Start altitude,-25.569999694824219
% Start GPS horizontal error(Meter),5.1399998664855957
% Start GPS vertical error(Meter),6.5900001525878906
% Start GPS number of satellites,4
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),142.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-12-11
% Temperature calibration date,2013-12-11
% Pressure calibration date,2013-12-11
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14937966204562059,12.075127933579969,36721.235328692026,49522.735827746925,31.75582185887944,1493.2110824137953,1024.057915673872
0.44999999999999996,0.44809264203193461,11.928778164134759,37043.967659915848,50155.961693708246,32.192323097397264,1493.2332678370253,1024.425018322527
0.74999999999999989,0.74675129977063182,11.935486793518066,37035.6015625,50135.526532439668,32.178316771521935,1493.2445983426217,1024.4142606551307
1.05,1.0454103265734474,11.941262245178223,37052,50149.88355580112,32.189052761808121,1493.2822634902425,1024.4228760635142
1.35,1.3440676837607044,11.941854953765869,37055.3046875,50153.551755692992,32.191611153739416,1493.2923045771086,1024.4261040033321
1.65,1.6427241566851283,11.942447662353516,37058.609375,50157.219837878874,32.194169489859675,1493.3023455687787,1024.4293318672737
1.9500000000000002,1.9413803710605566,11.944181442260742,37057.4921875,50153.353979998647,32.191468587311142,1493.3100358769768,1024.4282672870484
2.25,2.2400375843946576,11.948225975036621,37053.23046875,50142.096800241947,32.183733421259646,1493.3196731675278,1024.4228683917831
2.55,2.5386947075071413,11.944149494171143,37055.44921875,50150.632408788326,32.189275604203466,1493.3171937100726,1024.4292758112845
2.85,2.8373500193094983,11.940073013305664,37057.66796875,50159.169901209971,32.194818838766381,1493.3147145461596,1024.4356839974475
3.15,3.1360033908057661,11.930800437927246,37055.13671875,50168.336834496367,32.200263038469338,1493.2942120385312,1024.4429765391651
3.4499999999999997,3.4346555359554123,11.924345016479492,37048.111328125,50167.594457789666,32.19892825277411,1493.2753143798834,1024.4444867904931
3.75,3.7333072977459509,11.917889595031738,37041.0859375,50166.851821460616,32.1975927968077,1493.2564120173327,1024.445996137413
4.05,4.0319576049283778,11.908040046691895,37039.984375,50178.747405905582,32.204920822145382,1493.2361542849465,1024.4548557336159
